School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
Clifden Community School,Co. Galway,58,95%,88%,0,1,21,0,2,1,3,0,2,2,3,0,13,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0
"Scoil Bhride, Tuam",Co. Galway,37,95%,80%,2,0,15,1,1,1,2,0,0,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1
"Coláiste An Eachréidh, Athenry",Co. Galway,33,94%,85%,1,0,12,1,3,2,1,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coláiste Bhaile Chláir, Claregalway",Co. Galway,126,94%,84%,3,0,59,0,2,6,6,0,1,0,3,0,33,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0
"Coláiste Éinde, Salthill",Co. Galway,119,93%,78%,2,0,54,3,2,1,4,0,0,3,3,0,34,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0
"Seamount College, Kinvara",Co. Galway,81,93%,90%,0,5,28,7,1,7,14,0,1,0,1,0,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"Coláiste Chroí Mhuire Gan Smál, Spiddal",Co. Galway,36,92%,100%,0,1,17,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Our Lady Of Mercy, Loughrea",Co. Galway,11,91%,72%,0,1,3,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Calasanctius College, Oranmore",Co. Galway,139,91%,93%,0,1,78,2,3,2,5,0,2,1,2,0,22,0,0,0,0,1,0,3,0,2,1,0,0,0,1,0
"St Paul's Secondary School, Oughterard",Co. Galway,74,89%,100%,0,2,28,2,0,1,7,1,0,0,1,0,21,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Gort Community School,Co. Galway,119,88%,69%,0,0,29,1,7,2,18,0,0,3,10,0,28,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
"Our Lady's College, Newtownsmith, Galway",Co. Galway,46,87%,73%,0,3,19,1,0,0,0,0,0,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Jarlath's, Tuam",Co. Galway,84,87%,76%,0,0,34,1,0,0,6,0,0,0,1,0,27,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"St Cuan's College, Ballinasloe",Co. Galway,38,87%,78%,0,0,14,1,0,1,3,0,1,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presentation College, Headford",Co. Galway,129,87%,70%,0,2,39,2,0,2,1,0,1,5,8,1,37,1,2,2,1,0,1,3,2,2,0,0,0,0,0,0
"Colaíste Na Coiribe, Ballyburke",Co. Galway,91,87%,100%,3,2,44,4,0,1,1,0,0,1,0,0,13,0,0,1,0,0,1,7,1,0,0,0,0,0,0,0
"St Joseph's Patrician College, Galway",Co. Galway,127,87%,100%,0,2,64,5,1,5,2,0,3,1,0,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Garbally College, Ballinasloe",Co. Galway,70,84%,100%,2,1,17,3,1,3,7,0,0,0,8,0,10,0,1,2,0,2,0,0,0,0,0,0,0,1,1,0
Portumna Community School,Co. Galway,66,82%,65%,2,1,15,2,0,0,11,0,0,1,6,0,9,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0
"Holy Rosary College, Mountbellew",Co. Galway,114,82%,100%,0,1,32,2,2,5,10,0,0,1,11,0,18,0,1,1,0,0,0,7,0,2,0,0,0,0,0,0
"Coláiste Chilleáin Naofa, New Inn, Ballinsaloe",Co. Galway,27,81%,84%,1,0,6,0,0,0,2,0,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenamaddy Community School,Co. Galway,55,80%,78%,0,2,25,0,1,1,2,0,0,0,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"St Brigid's College, Loughrea",Co. Galway,109,80%,73%,1,2,28,2,1,2,15,0,0,1,11,0,20,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"Presentation College, Tuam",Co. Galway,65,78%,79%,1,0,23,2,0,1,3,0,2,0,4,1,5,0,0,1,0,0,1,3,0,3,0,0,0,0,0,1
"Coláiste Na bPiarsach, Rosmuc",Co. Galway,16,75%,100%,0,0,1,0,1,0,2,0,0,2,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Coláiste Naomh Feichín, Cornamona",Co. Galway,15,73%,100%,0,2,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Coláiste Mhuire, Ballygar",Co. Galway,37,73%,81%,2,0,6,0,0,7,1,0,0,1,1,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"Clarin College, Athenry",Co. Galway,74,73%,87%,0,0,15,0,1,1,1,0,2,0,7,0,24,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"Scoil Chuimsitheach Chiaráin, Carraroe",Co. Galway,56,70%,85%,0,0,21,1,1,0,1,0,1,1,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Dunmore Community School,Co. Galway,42,69%,97%,0,0,4,0,0,1,3,1,0,0,3,0,9,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0
"St Mary's College, Galway",Co. Galway,70,67%,89%,0,1,16,0,0,0,1,0,0,0,2,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scoil Phobail Mhic Dara, Carna",Co. Galway,18,67%,73%,0,0,1,0,0,0,4,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Galway Community College, Moneenageisha",Co. Galway,24,63%,36%,0,0,1,1,0,0,1,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Coláiste Cholmcille, Inverin",Co. Galway,25,60%,69%,0,0,8,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Coláiste Mhuirlinne/Merlin College, Doughiska",Co. Galway,87,48%,64%,1,0,8,4,0,2,1,0,1,1,1,0,20,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Archbishop McHale College, Tuam",Co. Galway,20,40%,67%,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coláiste An Chreagáin, Mountbellew",Co. Galway,18,39%,0%,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intermediate School, Killorglin",Co. Kerry,75,100%,87%,2,2,3,3,34,2,15,0,1,20,2,0,2,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0
"Coláiste Ide, Dingle",Co. Kerry,21,100%,93%,3,0,3,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"Gaelcholáiste Chiarraí, Tralee",Co. Kerry,51,100%,90%,0,0,6,0,20,1,8,0,1,11,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
"St Brigid's Secondary School, Killarney",Co. Kerry,100,100%,86%,1,1,7,5,26,2,13,0,1,32,5,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Presentation Secondary School, Listowel",Co. Kerry,51,100%,77%,1,0,4,0,14,1,10,0,0,14,3,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
Castleisland Community College,Co. Kerry,30,93%,60%,1,0,0,0,1,0,5,0,0,17,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Tarbert Comprehensive School,Co. Kerry,69,91%,100%,0,1,3,1,12,2,19,0,0,13,4,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
"Scoil Phobail Sliabh Luachra, Rathmore",Co. Kerry,72,90%,88%,2,1,1,2,12,0,13,0,0,26,3,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
"Coláiste Na Sceilge, Cahirsiveen",Co. Kerry,65,89%,88%,2,1,5,0,10,6,12,0,1,13,2,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"Mercy Secondary School, Tralee",Co. Kerry,188,89%,86%,2,4,10,8,31,8,23,0,4,61,4,0,5,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0
"Scoil Chuimsitheach An Tochar, Tralee ",Co. Kerry,68,88%,83%,0,1,2,0,8,0,13,0,1,25,3,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0
"Presentation Secondary School, Tralee",Co. Kerry,86,84%,73%,2,0,6,0,14,3,9,0,0,31,2,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"St Brendan's College, Killarney",Co. Kerry,113,81%,74%,2,0,3,2,27,6,17,0,1,28,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Kenmare Community School,Co. Kerry,58,79%,80%,1,0,5,4,15,3,9,0,0,0,2,0,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"St Michael's College, Listowel",Co. Kerry,36,78%,89%,0,0,2,0,6,0,9,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presentation Secondary School, Milltown",Co. Kerry,113,76%,86%,2,4,3,1,11,5,11,1,0,34,6,0,1,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0
"Meán Scoil Nua An Leith Triúgh, Castlegregory",Co. Kerry,25,76%,83%,0,0,4,0,6,0,0,0,0,3,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"Pobailscoil Chorca Dhuibhne, Dingle Peninsula",Co. Kerry,52,75%,100%,1,0,4,0,10,0,7,0,1,3,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,1,2,0
"St Mary's CBS The Green, Tralee",Co. Kerry,107,75%,87%,0,1,3,1,14,1,16,0,2,35,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Presentation Secondary School, Castleisland",Co. Kerry,38,74%,91%,0,0,2,2,6,0,2,0,1,9,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"St Joseph's Secondary School, Ballybunion",Co. Kerry,67,63%,57%,0,0,2,1,8,0,6,0,1,14,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"St Patrick's Secondary School, Castleisland",Co. Kerry,37,57%,88%,0,0,3,0,4,0,4,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Killarney Community College,Co. Kerry,45,49%,100%,0,0,0,1,1,1,0,0,0,15,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"Coláiste Gleann Lí, Tralee",Co. Kerry,25,36%,47%,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Killorglin Community College,Co. Kerry,75,31%,50%,0,0,0,0,1,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listowel Community College,Co. Kerry,14,21%,36%,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dominican College, Newbridge",Co. Kildare,148,100%,93%,14,14,15,28,1,32,9,0,26,1,4,0,1,3,5,0,0,3,1,0,2,0,2,0,2,0,2,0
"Clongowes Wood College, Clane",Co. Kildare,70,100%,100%,1,2,6,12,3,29,1,0,15,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"Gael-Choláiste Chill Dara, Naas",Co. Kildare,53,100%,75%,6,10,1,9,2,8,0,0,8,0,0,0,0,2,2,0,0,3,3,0,1,0,0,0,0,0,0,0
Maynooth Post Primary School,Co. Kildare,152,98%,99%,13,52,4,20,1,5,2,0,27,2,6,0,2,4,0,1,2,1,1,1,1,0,1,0,3,0,0,0
"St Wolstan's Community School, Celbridge",Co. Kildare,121,98%,100%,11,35,5,14,0,16,1,1,18,0,4,2,0,0,1,0,0,1,4,0,0,1,3,1,0,0,0,0
"St Mary's College, Naas",Co. Kildare,195,95%,100%,32,28,17,22,10,14,6,1,24,2,1,0,1,2,13,2,1,3,2,1,1,1,0,0,1,0,0,0
"Salesian College, Celbridge",Co. Kildare,99,92%,76%,3,37,0,8,2,12,1,1,18,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0
Naas CBS ,Co. Kildare,166,89%,95%,26,19,6,11,1,22,6,1,37,0,3,1,3,1,4,2,0,2,0,0,1,0,0,0,1,0,1,0
"Confey Community College, Leixlip",Co. Kildare,112,88%,83%,4,31,2,16,0,15,2,0,19,0,0,2,0,2,1,0,0,0,1,0,0,0,1,0,3,0,0,0
"Patrician Secondary School, Newbridge",Co. Kildare,125,87%,95%,11,25,6,1,0,9,7,0,19,0,2,1,3,2,18,0,0,3,0,0,0,0,0,0,1,1,0,0
"Piper's Hill College, Naas",Co. Kildare,146,85%,83%,18,29,5,11,2,15,3,0,21,0,0,1,0,0,8,1,0,2,1,2,2,0,0,2,0,1,0,0
"Coláiste Lorcáin, Castledermot",Co. Kildare,51,82%,68%,1,4,2,2,3,4,2,0,3,0,2,0,2,0,6,0,1,8,0,0,0,0,0,1,1,0,0,0
"Cross And Passion College, Kilcullen",Co. Kildare,123,82%,77%,9,14,8,7,1,10,6,0,5,3,4,1,4,1,14,0,1,9,0,0,1,0,0,0,1,0,2,0
"Ardscoil Na Trionóide, Athy",Co. Kildare,137,77%,76%,11,9,7,0,4,7,5,0,2,0,6,1,2,2,20,0,0,17,1,4,0,0,1,3,1,1,0,1
"Holy Family Secondary School, Newbridge",Co. Kildare,109,76%,95%,11,21,3,4,2,9,2,0,10,0,0,0,0,1,5,0,0,5,2,0,3,1,0,2,1,1,0,0
"Coláiste Chiaráin, Leixlip",Co. Kildare,93,74%,77%,8,25,0,5,0,5,1,1,13,0,0,1,2,0,0,0,0,1,1,0,1,0,1,0,3,1,0,0
