School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"St Joseph's Secondary School, Drogheda",Co. Louth,126,72%,83%,19,8,2,7,1,3,3,1,17,1,0,22,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0
"St Mary's College, Dundalk",Co. Louth,102,69%,78%,12,6,1,3,0,3,1,0,8,1,1,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardee Community School,Co. Louth,139,65%,70%,24,8,2,2,0,6,2,0,7,1,1,26,1,1,5,1,1,1,0,0,0,0,2,0,0,0,0,0
"Coláiste Chú Chulainn, Dundalk",Co. Louth,105,65%,48%,10,11,5,3,0,1,0,1,7,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ballymakenny College, Drogheda",Co. Louth,136,53%,60%,15,8,0,0,0,1,0,1,12,1,0,29,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
"St Oliver's Community College, Drogheda",Co. Louth,208,52%,62%,22,14,1,4,2,9,0,0,14,0,1,25,1,4,3,0,1,0,2,0,0,0,1,0,2,2,0,1
"Scoil Uí Mhuirí, Dunleer",Co. Louth,96,52%,63%,5,8,2,2,0,1,0,0,3,1,1,21,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"St Muredach's College, Ballina",Co. Mayo,44,95%,64%,1,0,6,1,1,2,10,0,1,2,2,0,10,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Ballyhaunis Community School,Co. Mayo,88,95%,92%,1,3,19,2,1,1,13,0,3,0,7,0,24,1,1,4,2,0,0,1,0,1,0,0,0,0,0,0
"St Gerald's College, Castlebar",Co. Mayo,97,95%,87%,2,1,21,1,1,5,22,0,0,0,6,0,24,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0
